district;2019
;
Бабынинский муниципальный район;
Бабынинский муниципальный район;18306
Барятинский муниципальный район;
Барятинский муниципальный район;5946
Боровский муниципальный район;
Боровский муниципальный район;62711
Дзержинский муниципальный район;
Дзержинский муниципальный район;52799
Думиничский муниципальный район;
Думиничский муниципальный район;13881
Жиздринский муниципальный район;
Жиздринский муниципальный район;10205
Жуковский муниципальный район;
Жуковский муниципальный район;53293
Кировский муниципальный район;
Кировский муниципальный район;40307
Износковский муниципальный район;
Износковский муниципальный район;6919
Козельский муниципальный район;
Козельский Муниципальный район;36165
Куйбышевский муниципальный район;
Куйбышевский муниципальный район;7793
Людиновский муниципальный район;
Людиновский  муниципальный район;41784
Малоярославецкий муниципальный район;
Малоярославецкий муниципальный район;49598
Медынский муниципальный район;
Медынский  муниципальный район;12882
Мещовский муниципальный район;
Мещовский муниципальный район;11876
Мосальский муниципальный район;
Мосальский муниципальный район;8514
Перемышльский муниципальный район;
Перемышльский муниципальный район;13277
Спас-Деменский муниципальный район;
Спас-Деменский муниципальный район;7143
Сухиничский муниципальный район;
Сухиничский  муниципальный район;22985
Тарусский муниципальный район;
Тарусский  муниципальный район;15117
Ульяновский муниципальный район;
Ульяновский муниципальный район;7112
Ферзиковский муниципальный район;
Ферзиковский муниципальный район;18076
Хвастовичский муниципальный район;
Хвастовичский муниципальный район;10370
Юхновский муниципальный район;
Юхновский  муниципальный район;10630
Городские округа Калужской области/;
"Городской округ ""город Калуга""";353540
"Городской округ ""город Обнинск""";118151
