"","id","region","fdistrict","sex","phrase","phrase.tr","phrase.eng"
"1",1,"Moscow","Central","F","соленый огурец","solenyj ogurec","pickle"
"2",2,"Irkutskaja oblast","Siberian","F","турецкий барабан","tureckij baraban","turkish drum"
"3",3,"Moscow","Central","F","соленый огурец","solenyj ogurec","pickle"
"4",4,"Moldova","Abroad","F","соленый огурец","solenyj ogurec","pickle"
"5",5,"Vologodskaja oblast","Northwestern","F","шоколадина","šokoladina","chocolate bar"
"6",6,"Moscow","Central","M","турецкий барабан","tureckij baraban","turkish drum"
"8",8,"Moscow","Central","M","турецкий барабан","tureckij baraban","turkish drum"
"9",9,"Moscow","Central","F","соленый огурец","solenyj ogurec","pickle"
"10",10,"Moscow","Central","F","соленый огурец","solenyj ogurec","pickle"
"11",11,"Belgorodskaja oblast","Central","F","соленый огурец","solenyj ogurec","pickle"
"12",12,"Moscow","Central","F","соленый огурец","solenyj ogurec","pickle"
"14",14,"Moscow","Central","F","соленый огурец","solenyj ogurec","pickle"
"15",15,"Sverdlovskaja oblast","Ural","F","шоколадина","šokoladina","chocolate bar"
"16",16,"Moscow","Central","M","турецкий барабан","tureckij baraban","turkish drum"
"17",17,"Moskovskaja oblast","Central","M","соленый огурец","solenyj ogurec","pickle"
"18",18,"Moskovskaja oblast","Central","F","соленый огурец","solenyj ogurec","pickle"
"20",20,"Moscow","Central","M","турецкий барабан","tureckij baraban","turkish drum"
"21",21,"Kaluzhskaja oblast","Central","M","соленый огурец","solenyj ogurec","pickle"
"22",22,"Respublika Saha (Jakutija)","Far Eastern","F","шоколадина","šokoladina","chocolate bar"
"23",23,"Samarskaja oblast","Volga","M","соленый огурец","solenyj ogurec","pickle"
"24",24,"Moscow","Central","F","турецкий барабан","tureckij baraban","turkish drum"
"25",25,"Samarskaja oblast","Volga","F","соленый огурец","solenyj ogurec","pickle"
"27",27,"Tverskaja oblast","Central","F","соленый огурец","solenyj ogurec","pickle"
"28",28,"Moscow","Central","M","турецкий барабан","tureckij baraban","turkish drum"
"29",29,"Moscow","Central","F","соленый огурец","solenyj ogurec","pickle"
"30",30,"Moscow","Central","M","соленый огурец","solenyj ogurec","pickle"
"31",31,"Moscow","Central","F","соленый огурец","solenyj ogurec","pickle"
"33",33,"Uzbekistan","Abroad","M","соленый огурец","solenyj ogurec","pickle"
"34",34,"Moscow","Central","M","турецкий барабан","tureckij baraban","turkish drum"
"35",35,"Moscow","Central","M","соленый огурец","solenyj ogurec","pickle"
"36",36,"Moscow","Central","F","соленый огурец","solenyj ogurec","pickle"
"37",37,"Moscow","Central","M","соленый огурец","solenyj ogurec","pickle"
"38",38,"Moscow","Central","F","соленый огурец","solenyj ogurec","pickle"
"39",39,"Moskovskaja oblast","Central","F","соленый огурец","solenyj ogurec","pickle"
"40",40,"Respublika Komi","Northwestern","F","соленый огурец","solenyj ogurec","pickle"
"42",42,"Permskij kraj","Volga","F","шоколадина","šokoladina","chocolate bar"
"43",43,"Moscow","Central","M","турецкий барабан","tureckij baraban","turkish drum"
"44",44,"Moscow","Central","M","соленый огурец","solenyj ogurec","pickle"
"45",45,"Moscow","Central","F","соленый огурец","solenyj ogurec","pickle"
"46",46,"Moskovskaja oblast","Central","F","соленый огурец","solenyj ogurec","pickle"
"47",47,"Habarovskij kraj","Far Eastern","F","соленый огурец","solenyj ogurec","pickle"
"48",48,"HMAO-Jugra","Ural","F","соленый огурец","solenyj ogurec","pickle"
"49",49,"Novosibirskaja oblast","Siberian","F","соленый огурец","solenyj ogurec","pickle"
"51",51,"Altajskij kraj","Siberian","F","соленый огурец","solenyj ogurec","pickle"
"52",52,"Moscow","Central","F","турецкий барабан","tureckij baraban","turkish drum"
"53",53,"Respublika Saha (Jakutija)","Far Eastern","F","шоколадина","šokoladina","chocolate bar"
"54",54,"Respublika Saha (Jakutija)","Far Eastern","F","шоколадина","šokoladina","chocolate bar"
"55",55,"Volgogradskaja oblast","Southern","F","соленый огурец","solenyj ogurec","pickle"
"56",56,"Moscow","Central","F","соленый огурец","solenyj ogurec","pickle"
"57",57,"Volgogradskaja oblast","Southern","M","соленый огурец","solenyj ogurec","pickle"
